iso,year,start,end,obs_matdeaths,pm_obs,env,mmr_obs,shortcite,obs_selogpm,type,modelinclude,crvs_completeness,definition,sens,var_sens,sens_sq,oneminsens_sq,spec,var_spec,spec_sq,oneminspec_sq,cov_sesp,completeness_inq
CZE,2009.5,2009,2010,3,0.001749271137026239,1715,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,2010.5,2010,2011,3,0.0018461538461538461,1625,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,2011.5,2011,2012,2,0.0012143290831815423,1647,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,2012.5,2012,2013,6,0.0037220843672456576,1612,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,2013.5,2013,2014,1,6.489292667099286e-4,1541,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,2014.5,2014,2015,4,0.002688172043010753,1488,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,2015.5,2015,2016,2,0.0013531799729364006,1478,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,2016.5,2016,2017,1,6.422607578676942e-4,1557,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
DNK,1985.5,1985,1986,1,7.199424046076314e-4,1389,NA,NA,NA,vr,FALSE,1,maternal,0.4258715398264169,0.017442723602615822,0.1813665711317855,0.3296234914789517,0.999768451470898,9.778390921915294e-8,0.9995369565566183,5.3614822328196134e-8,-2.3073991851922655e-6,NA
DNK,1986.5,1986,1987,2,0.0014503263234227702,1379,NA,NA,NA,vr,FALSE,1,maternal,0.4282829008932498,0.015506806590678632,0.18342624631550938,0.32686044452900986,0.9997537750139296,1.046814888026312e-7,0.9995076106547023,6.062684319823536e-8,-2.251013077284765e-6,NA
DNK,1987.5,1987,1988,5,0.003679175864606328,1359,NA,NA,NA,vr,FALSE,1,maternal,0.4288886170472079,0.013688783636708371,0.1839454466317288,0.326168212537313,0.9997588457432108,9.787677902543186e-8,0.9995177496417976,5.81553759985348e-8,-2.0450510407985437e-6,NA
DNK,1988.5,1988,1989,2,0.0013869625520110957,1442,NA,NA,NA,vr,FALSE,1,maternal,0.4328876318922338,0.012054346291739796,0.18739170209791592,0.3216164383134484,0.9997486784815525,9.758423566233546e-8,0.9994974201256126,6.316250767726807e-8,-1.9162119835467936e-6,NA
DNK,1989.5,1989,1990,5,0.0034411562284927736,1453,NA,NA,NA,vr,FALSE,1,maternal,0.4373855071081102,0.010017786161480365,0.19130608689737472,0.31653507268115433,0.9997348811128546,1.022818748944e-7,0.9994698325137721,7.028806303397117e-8,-1.7884100689748521e-6,NA
